,...1,date,GDPC1,quarter_yr,quarter_cycle,year,year_qt,GDP_growth_qt,GDP_growth_pct
1,1,1/1/47,2033.061,1,1,1947,1947_1,0,0
2,2,4/1/47,2027.639,2,2,1947,1947_2,-5.422,-0.266691457
3,3,7/1/47,2023.452,3,3,1947,1947_3,-4.187,-0.206496324
4,4,10/1/47,2055.103,4,4,1947,1947_4,31.651,1.564208096
5,5,1/1/48,2086.017,1,5,1948,1948_5,30.914,1.504255504
6,6,4/1/48,2120.45,2,6,1948,1948_6,34.433,1.650657689
7,7,7/1/48,2132.598,3,7,1948,1948_7,12.148,0.572897262
8,8,10/1/48,2134.981,4,8,1948,1948_8,2.383,0.111741641
9,9,1/1/49,2105.562,1,1,1949,1949_1,-29.419,-1.377951373
10,10,4/1/49,2098.38,2,2,1949,1949_2,-7.182,-0.341096581
11,11,7/1/49,2120.044,3,3,1949,1949_3,21.664,1.032415482
12,12,10/1/49,2102.251,4,4,1949,1949_4,-17.793,-0.839275034
13,13,1/1/50,2184.872,1,5,1950,1950_5,82.621,3.930120618
14,14,4/1/50,2251.507,2,6,1950,1950_6,66.635,3.049835414
15,15,7/1/50,2338.514,3,7,1950,1950_7,87.007,3.864389496
16,16,10/1/50,2383.291,4,8,1950,1950_8,44.777,1.914762965
17,17,1/1/51,2415.66,1,1,1951,1951_1,32.369,1.358163984
18,18,4/1/51,2457.517,2,2,1951,1951_2,41.857,1.732735567
19,19,7/1/51,2508.166,3,3,1951,1951_3,50.649,2.060982691
20,20,10/1/51,2513.69,4,4,1951,1951_4,5.524,0.220240606
21,21,1/1/52,2540.55,1,5,1952,1952_5,26.86,1.068548628
22,22,4/1/52,2546.022,2,6,1952,1952_6,5.472,0.215386432
23,23,7/1/52,2564.401,3,7,1952,1952_7,18.379,0.721871217
24,24,10/1/52,2648.621,4,8,1952,1952_8,84.22,3.284197752
25,25,1/1/53,2697.855,1,1,1953,1953_1,49.234,1.858854098
26,26,4/1/53,2718.709,2,2,1953,1953_2,20.854,0.772984464
27,27,7/1/53,2703.411,3,3,1953,1953_3,-15.298,-0.562693543
28,28,10/1/53,2662.482,4,4,1953,1953_4,-40.929,-1.513976232
29,29,1/1/54,2649.755,1,5,1954,1954_5,-12.727,-0.478012621
30,30,4/1/54,2652.643,2,6,1954,1954_6,2.888,0.108991209
31,31,7/1/54,2682.601,3,7,1954,1954_7,29.958,1.129364185
32,32,10/1/54,2735.091,4,8,1954,1954_8,52.49,1.956683085
33,33,1/1/55,2813.212,1,1,1955,1955_1,78.121,2.856248659
34,34,4/1/55,2858.988,2,2,1955,1955_2,45.776,1.627179182
35,35,7/1/55,2897.598,3,3,1955,1955_3,38.61,1.350477861
36,36,10/1/55,2914.993,4,4,1955,1955_4,17.395,0.600324821
37,37,1/1/56,2903.671,1,5,1956,1956_5,-11.322,-0.388405735
38,38,4/1/56,2927.665,2,6,1956,1956_6,23.994,0.826333286
39,39,7/1/56,2925.035,3,7,1956,1956_7,-2.63,-0.089832682
40,40,10/1/56,2973.179,4,8,1956,1956_8,48.144,1.645929023
41,41,1/1/57,2992.219,1,1,1957,1957_1,19.04,0.640391984
