"","...1","DATE","UNRATE","year","quarter_yr","quarter_cycle","year_qt","unrate_qt_total"
"1",1,"1/1/48",3.4,1948,1,1,"1948_1",11.2
"2",4,"4/1/48",3.9,1948,2,2,"1948_2",11
"3",7,"7/1/48",3.6,1948,3,3,"1948_3",11.3
"4",10,"10/1/48",3.7,1948,4,4,"1948_4",11.5
"5",13,"1/1/49",4.3,1949,1,5,"1949_5",14
"6",16,"4/1/49",5.3,1949,2,6,"1949_6",17.6
"7",19,"7/1/49",6.7,1949,3,7,"1949_7",20.1
"8",22,"10/1/49",7.9,1949,4,8,"1949_8",20.9
"9",25,"1/1/50",6.5,1950,1,1,"1950_1",19.2
"10",28,"4/1/50",5.8,1950,2,2,"1950_2",16.7
"11",31,"7/1/50",5,1950,3,3,"1950_3",13.9
"12",34,"10/1/50",4.2,1950,4,4,"1950_4",12.7
"13",37,"1/1/51",3.7,1951,1,5,"1951_5",10.5
"14",40,"4/1/51",3.1,1951,2,6,"1951_6",9.3
"15",43,"7/1/51",3.1,1951,3,7,"1951_7",9.5
"16",46,"10/1/51",3.5,1951,4,8,"1951_8",10.1
"17",49,"1/1/52",3.2,1952,1,1,"1952_1",9.2
"18",52,"4/1/52",2.9,1952,2,2,"1952_2",8.9
"19",55,"7/1/52",3.2,1952,3,3,"1952_3",9.7
"20",58,"10/1/52",3,1952,4,4,"1952_4",8.5
"21",61,"1/1/53",2.9,1953,1,5,"1953_5",8.1
"22",64,"4/1/53",2.7,1953,2,6,"1953_6",7.7
"23",67,"7/1/53",2.6,1953,3,7,"1953_7",8.2
"24",70,"10/1/53",3.1,1953,4,8,"1953_8",11.1
"25",73,"1/1/54",4.9,1954,1,1,"1954_1",15.8
"26",76,"4/1/54",5.9,1954,2,2,"1954_2",17.4
"27",79,"7/1/54",5.8,1954,3,3,"1954_3",17.9
"28",82,"10/1/54",5.7,1954,4,4,"1954_4",16
"29",85,"1/1/55",4.9,1955,1,5,"1955_5",14.2
"30",88,"4/1/55",4.7,1955,2,6,"1955_6",13.2
"31",91,"7/1/55",4,1955,3,7,"1955_7",12.3
"32",94,"10/1/55",4.3,1955,4,8,"1955_8",12.7
"33",97,"1/1/56",4,1956,1,1,"1956_1",12.1
"34",100,"4/1/56",4,1956,2,2,"1956_2",12.6
"35",103,"7/1/56",4.4,1956,3,3,"1956_3",12.4
"36",106,"10/1/56",3.9,1956,4,4,"1956_4",12.4
"37",109,"1/1/57",4.2,1957,1,5,"1957_5",11.8
"38",112,"4/1/57",3.9,1957,2,6,"1957_6",12.3
"39",115,"7/1/57",4.2,1957,3,7,"1957_7",12.7
"40",118,"10/1/57",4.5,1957,4,8,"1957_8",14.8
"41",121,"1/1/58",5.8,1958,1,1,"1958_1",18.9
"42",124,"4/1/58",7.4,1958,2,2,"1958_2",22.1
"43",127,"7/1/58",7.5,1958,3,3,"1958_3",22
"44",130,"10/1/58",6.7,1958,4,4,"1958_4",19.1
"45",133,"1/1/59",6,1959,1,5,"1959_5",17.5
"46",136,"4/1/59",5.2,1959,2,6,"1959_6",15.3
"47",139,"7/1/59",5.1,1959,3,7,"1959_7",15.8
"48",142,"10/1/59",5.7,1959,4,8,"1959_8",16.8
"49",145,"1/1/60",5.2,1960,1,1,"1960_1",15.4
"50",148,"4/1/60",5.2,1960,2,2,"1960_2",15.7
"51",151,"7/1/60",5.5,1960,3,3,"1960_3",16.6
"52",154,"10/1/60",6.1,1960,4,4,"1960_4",18.8
"53",157,"1/1/61",6.6,1961,1,5,"1961_5",20.4
"54",160,"4/1/61",7,1961,2,6,"1961_6",21
"55",163,"7/1/61",7,1961,3,7,"1961_7",20.3
"56",166,"10/1/61",6.5,1961,4,8,"1961_8",18.6
"57",169,"1/1/62",5.8,1962,1,1,"1962_1",16.9
"58",172,"4/1/62",5.6,1962,2,2,"1962_2",16.6
"59",175,"7/1/62",5.4,1962,3,3,"1962_3",16.7
"60",178,"10/1/62",5.4,1962,4,4,"1962_4",16.6
"61",181,"1/1/63",5.7,1963,1,5,"1963_5",17.3
"62",184,"4/1/63",5.7,1963,2,6,"1963_6",17.2
"63",187,"7/1/63",5.6,1963,3,7,"1963_7",16.5
"64",190,"10/1/63",5.5,1963,4,8,"1963_8",16.7
"65",193,"1/1/64",5.6,1964,1,1,"1964_1",16.4
"66",196,"4/1/64",5.3,1964,2,2,"1964_2",15.6
"67",199,"7/1/64",4.9,1964,3,3,"1964_3",15
"68",202,"10/1/64",5.1,1964,4,4,"1964_4",14.9
"69",205,"1/1/65",4.9,1965,1,5,"1965_5",14.7
"70",208,"4/1/65",4.8,1965,2,6,"1965_6",14
"71",211,"7/1/65",4.4,1965,3,7,"1965_7",13.1
"72",214,"10/1/65",4.2,1965,4,8,"1965_8",12.3
"73",217,"1/1/66",4,1966,1,1,"1966_1",11.6
"74",220,"4/1/66",3.8,1966,2,2,"1966_2",11.5
"75",223,"7/1/66",3.8,1966,3,3,"1966_3",11.3
"76",226,"10/1/66",3.7,1966,4,4,"1966_4",11.1
"77",229,"1/1/67",3.9,1967,1,5,"1967_5",11.5
"78",232,"4/1/67",3.8,1967,2,6,"1967_6",11.5
