subgroup,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/21/20,11/23/20,McLaughlin & Associates,C/D,1000,lv,0.4366721,0,45,47,44.091421,44.108536,,,https://mclaughlinonline.com/pols/wp-content/uploads/2020/11/Newsmax-National-PPT-11-24-20-.pdf,73339,139355,1/20/21,9/21/22 17:05
All polls,12/9/20,12/13/20,McLaughlin & Associates,C/D,1000,lv,0.41408315,0,46,48,45.091421,45.108536,,,https://mclaughlinonline.com/pols/wp-content/uploads/2020/12/National-Monthly-December-For-Release-1.pdf,73755,139356,1/20/21,9/21/22 17:05
All polls,1/20/21,1/22/21,Morning Consult,B,10989,rv,0.06026821,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80108,160543,9/8/22,9/21/22 17:05
All polls,1/21/21,1/23/21,Morning Consult,B,10764,rv,0.05825534,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80109,160544,9/8/22,9/21/22 17:05
All polls,1/22/21,1/24/21,Morning Consult,B,11402,rv,0.05816801,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80110,160545,9/8/22,9/21/22 17:05
All polls,1/23/21,1/25/21,Morning Consult,B,13334,rv,0.06049161,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80111,160546,9/8/22,9/21/22 17:05
All polls,1/24/21,1/26/21,Morning Consult,B,14159,rv,0.06059053,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80112,160547,9/8/22,9/21/22 17:05
All polls,1/25/21,1/27/21,Morning Consult,B,14390,rv,0.05969437,0,44,40,43.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80113,160548,9/8/22,9/21/22 17:05
All polls,1/26/21,1/28/21,Morning Consult,B,14245,rv,0.05825044,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80114,160549,9/8/22,9/21/22 17:05
All polls,1/27/21,1/29/21,Morning Consult,B,13818,rv,0.05643094,0,44,40,43.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80115,160550,9/8/22,9/21/22 17:05
