pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election
Quinnipiac,1487,RV,37,38,1,4,2014,1,7,302.5
GWU/Battleground,1000,LV,41,43,1,12,2014,1,16,294
Quinnipiac,1933,RV,37,38,1,15,2014,1,19,291
FOX News,1010,RV,41,43,1,19,2014,1,21,288
ABC News/Wash Post,989.8452148,RV,45,46,1,20,2014,1,23,286.5
PPP (D),845,RV,40,42,1,23,2014,1,26,283.5
McClatchy/Marist,970,RV,46,44,2,4,2014,2,9,270.5
CBS News/NY Times,1000.843994,RV,39,42,2,19,2014,2,23,256
ABC News/Wash Post,1003.548645,RV,46,45,2,27,2014,3,2,248.5
FOX News,1002,RV,40,38,3,2,2014,3,4,246
PPP (D),1152,RV,43,40,3,6,2014,3,9,241.5
GWU/Battleground,1000,LV,43,43,3,16,2014,3,20,231
NPR/GQR/Resurgent,840,LV,44,43,3,19,2014,3,23,228
CBS News,1011.121582,RV,39,39,3,20,2014,3,23,227.5
Quinnipiac,1578,RV,40,38,3,26,2014,3,31,220.5
Reason-Rupe/PSRAI,1003,A,40,36,3,26,2014,3,30,221
McClatchy/Marist,1036,RV,48,42,4,7,2014,4,10,209.5
FOX News,1012,RV,41,44,4,13,2014,4,15,204
USA Today/Pew Research,1162,RV,43,47,4,23,2014,4,27,193
ABC News/Wash Post,855,RV,45,44,4,24,2014,4,27,192.5
CNN/Opinion Research,911,RV,45,46,5,2,2014,5,4,185
FOX News,1025,RV,43,40,5,10,2014,5,13,176.5
CBS News,1006.796082,RV,40,39,5,16,2014,5,19,170.5
ABC News/Wash Post,943.0143433,RV,47,45,5,29,2014,6,1,157.5
FOX News,1006,RV,39,43,6,1,2014,6,1,156
Bloomberg,763,LV,43,43,6,6,2014,6,9,149.5
NBC/WSJ,941.8848267,RV,45,43,6,11,2014,6,15,144
NBC/WSJ,945.6698608,RV,45,45,4,23,2014,4,27,193
NBC/WSJ,949.454895,RV,43,44,3,5,2014,3,9,242
NBC/WSJ,952.737854,RV,45,43,1,22,2014,1,25,284.5
CBS News/NY Times,991.5745239,RV,42,39,6,20,2014,6,22,136
FOX News,1018,RV,42,42,6,21,2014,6,23,135
Quinnipiac,1446,RV,41,39,6,24,2014,6,30,130
Pew,1420,RV,47,45,7,8,2014,7,14,116
CNN/Opinion Research,899,RV,48,44,7,18,2014,7,20,108
FOX News,1057,RV,43,41,7,20,2014,7,22,106
CBS News,967.8711548,RV,41,37,7,29,2014,8,4,95
Reason-Rupe/PSRAI,784.6896973,LV,42,41,8,6,2014,8,10,88
McClatchy/Marist,806,RV,38,43,8,4,2014,8,7,90.5
FOX News,1001,RV,46,39,8,10,2014,8,12,85
USA Today/Pew Research,1171,RV,47,42,8,20,2014,8,24,74
NBC/WSJ,899.682312,RV,43,44,7,30,2014,8,3,95
GWU/Battleground,1000,LV,42,46,8,23,2014,8,28,70.5
ABC News/Wash Post,749.7816162,LV,44,47,9,4,2014,9,7,59.5
CNN/Opinion Research,731.6229248,LV,45,49,9,5,2014,9,7,59
FOX News,833,LV,40,47,9,7,2014,9,9,57
Pew Research,1150,LV,44,47,9,2,2014,9,9,59.5
CBS News/NY Times,470,LV,42,49,9,12,2014,9,15,51.5
CNN/Opinion Research,701,LV,47,45,9,25,2014,9,28,38.5
McClatchy/Marist,884,RV,45,44,9,24,2014,9,29,38.5
FOX News,845,LV,40,47,9,28,2014,9,30,36
CBS News,575,LV,43,49,10,3,2014,10,6,30.5
Reason/Rupe,897.1810303,RV,42,33,10,1,2014,10,6,31.5
NBC/WSJ,666,LV,47,48,10,8,2014,10,12,25
ABC News/Wash Post,629,LV,43,50,10,9,2014,10,12,24.5
FOX News,831,LV,42,45,10,12,2014,10,14,22
Pew Research,1126,LV,47,46,10,15,2014,10,20,17.5
Associated Press/GfK,968,LV,32,40,10,16,2014,10,20,17
Democracy Corps,698,LV,46,46,10,16,2014,10,21,16.5
CNN/Opinion Research,540,LV,47,46,10,24,2014,10,26,10
ABC News/Wash Post,758,LV,44,50,10,23,2014,10,26,10.5
FOX News,734,LV,45,44,10,25,2014,10,27,9
CBS News,624,LV,42,50,10,23,2014,10,27,10
USA Today/PSRAI,697,LV,43,42,10,23,2014,10,26,10.5
NBC News/Wall St. Jrnl,826,LV,48,48,10,30,2014,11,1,4
Gallup Poll,1500,,49,26,2,25,1942,3,2,248.5
Gallup Poll,1455,,42,46,10,29,1942,11,3,2.5
Gallup Poll,1500,,38,34,9,5,1942,9,10,56.5
Gallup Poll,750,,45,32,6,1,1942,6,7,152
Gallup Poll,750,,40,34,7,16,1942,7,21,107.5
Gallup Poll,1470,,38,47,10,10,1942,10,15,21.5
Gallup Poll,623,,45,30,6,1,1942,6,7,152
Gallup Poll,750,,50,39,5,23,1942,5,28,161.5
Gallup Poll,750,,47,30,5,1,1942,5,7,183
Gallup Poll,750,,42,37,9,17,1942,9,23,44
Gallup Poll,1500,,48,30,7,1,1942,7,7,122
Gallup Poll,1500,,41,34,8,1,1942,8,6,91.5
Gallup Poll,1500,,60,37,4,2,1942,4,7,212.5
Gallup Poll,1500,,57,36,3,12,1942,3,17,233.5
Gallup Poll,750,,59,35,5,23,1942,5,28,161.5
Gallup Poll,1500,,44,33,8,15,1942,8,20,77.5
Gallup Poll,1500,,60,38,4,17,1942,4,23,197
Gallup Poll,1500,,38,47,10,5,1942,10,10,26.5
Gallup Poll,1380,,41,45,10,15,1942,10,20,16.5
Gallup Poll,750,,43,31,7,16,1942,7,21,107.5
Gallup Poll,1500,,40,35,8,27,1942,9,1,65.5
Gallup Poll,750,,47,35,9,17,1942,9,23,44
Gallup Poll,1500,,43,35,10,1,1942,10,6,30.5
,1500,,44,38,10,28,1943,11,3,373
Gallup Poll,1500,,43,43,7,20,1944,7,26,107
Gallup Poll,1500,,40,42,3,17,1944,3,22,232.5
,750,,45,42,7,20,1944,7,26,107
Gallup Poll,1500,,41,44,7,8,1944,7,13,119.5
Gallup Poll,1500,,41,43,10,5,1944,10,10,30.5
Gallup Poll,1500,,44,39,10,12,1944,10,17,23.5
,1444.310059,,50,51,9,22,1944,9,27,43.5
Gallup Poll,750,,35,46,2,18,1944,2,23,260.5
Gallup Poll,1500,,43,40,9,14,1944,9,19,51.5
Gallup Poll,1500,,41,43,3,3,1944,3,8,246.5
,1500,,42,30,11,23,1945,11,28,344.5
,1444.310059,,53,47,9,21,1945,9,26,407.5
Gallup Poll,1500,,42,37,8,30,1946,9,4,64.5
Gallup Poll,1500,,37,32,5,12,1946,5,17,174.5
Gallup Poll,1500,,38,34,8,16,1946,8,21,78.5
Gallup Poll,1400,,34,52,10,30,1946,10,31,5.5
Gallup Poll,1500,,50,39,1,25,1946,1,30,281.5
Gallup Poll,1500,,40,34,1,5,1946,1,10,301.5
Gallup Poll,1500,,38,45,10,12,1946,10,17,21.5
Gallup Poll,1500,,36,42,9,27,1946,10,2,36.5
Gallup Poll,1500,,42,58,10,18,1946,10,23,15.5
Gallup Poll,1500,,39,35,6,1,1946,6,6,154.5
Gallup Poll,1500,,40,40,6,1,1946,6,6,154.5
Gallup Poll,1500,,39,45,10,23,1946,10,28,10.5
Gallup Poll,750,,40,42,7,26,1946,7,31,99.5
Gallup Poll,1500,,37,49,10,23,1946,10,28,10.5
Gallup Poll,1500,,33,45,10,5,1946,10,10,28.5
Gallup Poll,1500,,35,34,5,17,1946,5,22,169.5
Gallup Poll,750,,40,40,7,26,1946,7,31,99.5
Gallup Poll,1500,,43,57,9,13,1946,9,18,50.5
Gallup Poll,1500,,37,34,4,26,1946,5,1,190.5
Gallup Poll,1500,,38,35,6,14,1946,6,19,141.5
Gallup Poll,1500,,38,38,6,28,1946,7,3,127.5
Gallup Poll,1500,,37,37,2,28,1946,3,5,247.5
Gallup Poll,1500,,45,37,10,7,1948,10,12,23.5
Gallup Poll,1500,,41,41,7,16,1948,7,21,106.5
Gallup Poll,1500,,42,39,9,23,1948,9,28,37.5
Gallup Poll,1500,,49,52,8,20,1950,8,25,76.5
Gallup Poll,1363,,56,34,6,29,1950,7,4,128.5
Gallup Poll,1357,,51,42,6,4,1950,6,9,153.5
Gallup Poll,1458,,48,38,3,26,1950,3,31,223.5
Gallup Poll,1500,,53,42,10,20,1950,10,25,15.5
Gallup Poll,1500,,49,43,9,17,1950,9,22,48.5
Gallup Poll,1500,,49,43,7,9,1950,7,14,118.5
Gallup Poll,1500,,46,45,10,22,1950,10,27,13.5
Gallup Poll,1500,,45,23,2,5,1950,2,10,272.5
Gallup Poll,1500,,39,30,1,28,1950,2,1,281
Gallup Poll,1500,,42,37,2,26,1950,3,3,251.5
Gallup Poll,1500,,58,32,10,8,1950,10,13,27.5
Gallup Poll,1599,,51,49,10,30,1950,11,3,6
Gallup Poll,1500,,41,35,1,8,1950,1,13,300.5
Gallup Poll,1500,,48,43,7,30,1950,8,4,97.5
Gallup Poll,1500,,52,41,10,1,1950,10,6,34.5
Gallup Poll,1343,,54,36,5,4,1950,5,9,184.5
Gallup Poll,1500,,45,39,10,20,1950,10,25,15.5
Gallup Poll,1500,,46,45,10,14,1951,10,19,384.5
Gallup Poll,1317,,46,45,12,9,1951,12,14,328.5
Gallup Poll,1500,,44,45,9,21,1951,9,26,407.5
Gallup Poll,2019,,45,45,11,11,1951,11,16,356.5
Gallup Poll,1500,,44,50,8,31,1952,9,5,62.5
Gallup Poll,1500,,48,47,5,30,1952,6,4,155.5
Gallup Poll,1500,,49,45,9,6,1952,9,11,56.5
Gallup Poll,1500,,45,48,4,13,1952,4,18,202.5
Gallup Poll,1500,,45,48,9,11,1952,9,16,51.5
Gallup Poll,1500,,49,41,4,27,1952,5,2,188.5
Gallup Poll,1500,,44,49,7,13,1952,7,18,111.5
Gallup Poll,1500,,46,40,8,10,1952,8,15,83.5
Gallup Poll,1500,,50,51,8,23,1952,8,28,70.5
Gallup Poll,1500,,45,49,6,15,1952,6,20,139.5
Gallup Poll,2038,,42,51,2,9,1952,2,14,266.5
Gallup Poll,1500,,51,49,1,20,1952,1,25,286.5
Gallup Poll,1500,,49,51,7,25,1952,7,30,99.5
Gallup Poll,1500,,44,49,1,6,1952,1,11,300.5
Gallup Poll,1500,,45,47,3,27,1952,4,1,219.5
Gallup Poll,1500,,45,48,5,11,1952,5,16,174.5
Gallup Poll,1500,,41,43,3,27,1952,4,1,219.5
Gallup Poll,2072,,43,50,3,14,1952,3,19,232.5
Gallup Poll,1602,,47,44,3,28,1953,4,2,581.5
Gallup Poll,1488,,52,42,10,9,1953,10,14,386.5
Gallup Poll,1536,,51,39,9,12,1953,9,17,413.5
Gallup Poll,1500,,49,42,5,30,1953,6,4,518.5
Gallup Poll,1498,,51,42,11,1,1953,11,5,364
Gallup Poll,1500,,47,45,7,25,1953,7,30,462.5
Gallup Poll,1500,,47,53,7,4,1953,7,9,483.5
Gallup Poll,1557,,44,48,5,9,1953,5,14,539.5
Gallup Poll,1500,,47,53,4,19,1953,4,24,559.5
Gallup Poll,1613,,48,46,8,15,1953,8,20,441.5
Gallup Poll,1500,,54,39,11,19,1953,11,24,345.5
Gallup Poll,1500,,49,44,12,11,1953,12,16,323.5
Gallup Poll,1500,,58,33,10,15,1954,10,20,15.5
Gallup Poll,1416,,52,40,5,21,1954,5,26,162.5
Gallup Poll,1500,,50,39,7,2,1954,7,7,120.5
Gallup Poll,1482,,50,43,4,8,1954,4,13,205.5
Gallup Poll,1500,,54,39,5,2,1954,5,7,181.5
Gallup Poll,1530,,55,38,7,16,1954,7,21,106.5
Gallup Poll,1500,,50,50,1,28,1954,2,2,275.5
Gallup Poll,1500,,48,46,10,26,1954,10,30,5
Gallup Poll,1500,,52,42,1,9,1954,1,14,294.5
Gallup Poll,1500,,52,48,8,26,1954,8,31,65.5
Gallup Poll,1500,,52,48,2,25,1954,3,2,247.5
Gallup Poll,1500,,52,48,8,5,1954,8,10,86.5
Gallup Poll,1500,,49,43,3,19,1954,3,24,225.5
Gallup Poll,1435,,52,40,6,12,1954,6,17,140.5
Gallup Poll,1466,,51,41,9,16,1954,9,21,44.5
Gallup Poll,1500,,53,41,10,6,1955,10,11,394.5
Gallup Poll,1500,,55,39,7,14,1955,7,19,478.5
Gallup Poll,1500,,52,41,10,27,1955,11,1,373.5
