Count,pollster,sample_size,type,bmonth,bday,year,emonth,eday,days_until_election,poll_date,party,support
1,Quinnipiac,1487,RV,1,4,2014,1,7,302.5,1/7/14,D,37
1,Quinnipiac,1487,RV,1,4,2014,1,7,302.5,1/7/14,R,38
2,GWU/Battleground,1000,LV,1,12,2014,1,16,294,1/16/14,D,41
2,GWU/Battleground,1000,LV,1,12,2014,1,16,294,1/16/14,R,43
3,Quinnipiac,1933,RV,1,15,2014,1,19,291,1/19/14,D,37
3,Quinnipiac,1933,RV,1,15,2014,1,19,291,1/19/14,R,38
4,FOX News,1010,RV,1,19,2014,1,21,288,1/21/14,D,41
4,FOX News,1010,RV,1,19,2014,1,21,288,1/21/14,R,43
5,ABC News/Wash Post,989.8452148,RV,1,20,2014,1,23,286.5,1/23/14,D,45
5,ABC News/Wash Post,989.8452148,RV,1,20,2014,1,23,286.5,1/23/14,R,46
6,PPP (D),845,RV,1,23,2014,1,26,283.5,1/26/14,D,40
6,PPP (D),845,RV,1,23,2014,1,26,283.5,1/26/14,R,42
7,McClatchy/Marist,970,RV,2,4,2014,2,9,270.5,2/9/14,D,46
7,McClatchy/Marist,970,RV,2,4,2014,2,9,270.5,2/9/14,R,44
8,CBS News/NY Times,1000.843994,RV,2,19,2014,2,23,256,2/23/14,D,39
8,CBS News/NY Times,1000.843994,RV,2,19,2014,2,23,256,2/23/14,R,42
9,ABC News/Wash Post,1003.548645,RV,2,27,2014,3,2,248.5,3/2/14,D,46
9,ABC News/Wash Post,1003.548645,RV,2,27,2014,3,2,248.5,3/2/14,R,45
10,FOX News,1002,RV,3,2,2014,3,4,246,3/4/14,D,40
10,FOX News,1002,RV,3,2,2014,3,4,246,3/4/14,R,38
11,PPP (D),1152,RV,3,6,2014,3,9,241.5,3/9/14,D,43
11,PPP (D),1152,RV,3,6,2014,3,9,241.5,3/9/14,R,40
12,GWU/Battleground,1000,LV,3,16,2014,3,20,231,3/20/14,D,43
12,GWU/Battleground,1000,LV,3,16,2014,3,20,231,3/20/14,R,43
13,NPR/GQR/Resurgent,840,LV,3,19,2014,3,23,228,3/23/14,D,44
13,NPR/GQR/Resurgent,840,LV,3,19,2014,3,23,228,3/23/14,R,43
14,CBS News,1011.121582,RV,3,20,2014,3,23,227.5,3/23/14,D,39
14,CBS News,1011.121582,RV,3,20,2014,3,23,227.5,3/23/14,R,39
15,Quinnipiac,1578,RV,3,26,2014,3,31,220.5,3/31/14,D,40
15,Quinnipiac,1578,RV,3,26,2014,3,31,220.5,3/31/14,R,38
16,Reason-Rupe/PSRAI,1003,A,3,26,2014,3,30,221,3/30/14,D,40
16,Reason-Rupe/PSRAI,1003,A,3,26,2014,3,30,221,3/30/14,R,36
17,McClatchy/Marist,1036,RV,4,7,2014,4,10,209.5,4/10/14,D,48
18,FOX News,1012,RV,4,13,2014,4,15,204,4/15/14,D,41
18,FOX News,1012,RV,4,13,2014,4,15,204,4/15/14,R,44
19,USA Today/Pew Research,1162,RV,4,23,2014,4,27,193,4/27/14,D,43
19,USA Today/Pew Research,1162,RV,4,23,2014,4,27,193,4/27/14,R,47
20,ABC News/Wash Post,855,RV,4,24,2014,4,27,192.5,4/27/14,D,45
20,ABC News/Wash Post,855,RV,4,24,2014,4,27,192.5,4/27/14,R,44
21,CNN/Opinion Research,911,RV,5,2,2014,5,4,185,5/4/14,D,45
21,CNN/Opinion Research,911,RV,5,2,2014,5,4,185,5/4/14,R,46
22,FOX News,1025,RV,5,10,2014,5,13,176.5,5/13/14,D,43
22,FOX News,1025,RV,5,10,2014,5,13,176.5,5/13/14,R,40
23,CBS News,1006.796082,RV,5,16,2014,5,19,170.5,5/19/14,D,40
23,CBS News,1006.796082,RV,5,16,2014,5,19,170.5,5/19/14,R,39
24,ABC News/Wash Post,943.0143433,RV,5,29,2014,6,1,157.5,6/1/14,D,47
24,ABC News/Wash Post,943.0143433,RV,5,29,2014,6,1,157.5,6/1/14,R,45
25,FOX News,1006,RV,6,1,2014,6,1,156,6/1/14,D,39
25,FOX News,1006,RV,6,1,2014,6,1,156,6/1/14,R,43
26,Bloomberg,763,LV,6,6,2014,6,9,149.5,6/9/14,D,43
26,Bloomberg,763,LV,6,6,2014,6,9,149.5,6/9/14,R,43
27,NBC/WSJ,941.8848267,RV,6,11,2014,6,15,144,6/15/14,D,45
27,NBC/WSJ,941.8848267,RV,6,11,2014,6,15,144,6/15/14,R,43
28,NBC/WSJ,945.6698608,RV,4,23,2014,4,27,193,4/27/14,D,45
