"","District","cpr","cpr_num","inside_elections","inside_elections_num","crystal_ball","crystal_ball_num","avg"
"1","AK-01","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"2","AL-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"3","AL-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"4","AL-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"5","AL-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"6","AL-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"7","AL-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"8","AL-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"9","AR-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"10","AR-02","Likely Republican",6,"Likely Republican",6,"Lean Republican",5,5.66666666666667
"11","AR-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"12","AR-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"13","AZ-01","Lean Democratic",3,"Lean Democratic",3,"Likely Democratic",2,2.66666666666667
"14","AZ-02","Lean Democratic",3,"Lean Democratic",3,"Likely Democratic",2,2.66666666666667
"15","AZ-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"16","AZ-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"17","AZ-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"18","AZ-06","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"19","AZ-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"20","AZ-08","Likely Republican",6,"Likely Republican",6,"Likely Republican",6,6
"21","AZ-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"22","CA-01","Likely Republican",6,"Solid Republican",7,"Safe Republican",7,6.66666666666667
"23","CA-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"24","CA-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"25","CA-04","Likely Republican",6,"Likely Republican",6,"Likely Republican",6,6
"26","CA-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"27","CA-06","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"28","CA-07","Likely Democratic",2,"Solid Democratic",1,"Likely Democratic",2,1.66666666666667
"29","CA-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"30","CA-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"31","CA-10","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"32","CA-11","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"33","CA-12","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"34","CA-13","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"35","CA-14","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"36","CA-15","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"37","CA-16","Likely Democratic",2,"Solid Democratic",1,"Likely Democratic",2,1.66666666666667
"38","CA-17","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"39","CA-18","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"40","CA-19","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"41","CA-20","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"42","CA-21","Likely Republican",6,"Likely Republican",6,"Lean Republican",5,5.66666666666667
"43","CA-22","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"44","CA-23","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"45","CA-24","Solid Democratic",1,"Solid Democratic",1,"Likely Democratic",2,1.33333333333333
"46","CA-25","Toss-up",4,"Toss-up",4,"Lean Republican",5,4.33333333333333
"47","CA-26","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"48","CA-27","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"49","CA-28","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"50","CA-29","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"51","CA-30","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"52","CA-31","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"53","CA-32","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"54","CA-33","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"55","CA-34","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"56","CA-35","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"57","CA-36","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"58","CA-37","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"59","CA-38","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"60","CA-39","Toss-up",4,"Toss-up",4,"Lean Republican",5,4.33333333333333
"61","CA-40","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"62","CA-41","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"63","CA-42","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"64","CA-43","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"65","CA-44","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"66","CA-45","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"67","CA-46","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"68","CA-47","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"69","CA-48","Toss-up",4,"Tilt Democratic",3.5,"Lean Democratic",3,3.5
"70","CA-49","Lean Democratic",3,"Lean Democratic",3,"Likely Democratic",2,2.66666666666667
"71","CA-50","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"72","CA-51","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"73","CA-52","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"74","CA-53","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"75","CO-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"76","CO-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"77","CO-03","Likely Republican",6,"Solid Republican",7,"Lean Republican",5,6
"78","CO-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"79","CO-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"80","CO-06","Lean Democratic",3,"Tilt Democratic",3.5,"Lean Democratic",3,3.16666666666667
"81","CO-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"82","CT-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"83","CT-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"84","CT-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"85","CT-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"86","CT-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"87","DE-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"88","FL-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"89","FL-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"90","FL-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"91","FL-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
