"","...1.x","date","year","quarter_yr","quarter_cycle","year_qt","DSPIC_qt","DSPIC_change_qt","DSPIC_change_pct","...1.y","AreaAll","R_seats","D_seats","Other_seats","total_votes","R_votes","D_votes","Other_votes","winning_vote_margin","winner_party","R_totalvote_pct","D_totalvote_pct","Other_totalvote_pct","R_majorvote_pct","D_majorvote_pct","president_party","H_incumbent_party_winner","H_incumbent_party_majorvote_pct","H_incumbent_party"
"1",5,"1/1/60",1960,1,5,"1960_5",6809.9,77.8,1.155657224,7,"United State",175,262,5,65678881,29445993,35060186,1172702,5614193,"D",44.83,53.38,1.79,45.65,54.35,"D",TRUE,54.35,"D"
"2",6,"4/1/60",1960,2,6,"1960_6",6853.9,44,0.646118152,7,"United State",175,262,5,65678881,29445993,35060186,1172702,5614193,"D",44.83,53.38,1.79,45.65,54.35,"D",TRUE,54.35,"D"
"3",7,"7/1/60",1960,3,7,"1960_7",6867,13.1,0.191132056,7,"United State",175,262,5,65678881,29445993,35060186,1172702,5614193,"D",44.83,53.38,1.79,45.65,54.35,"D",TRUE,54.35,"D"
"4",8,"10/1/60",1960,4,8,"1960_8",6864.1,-2.9,-0.04223096,7,"United State",175,262,5,65678881,29445993,35060186,1172702,5614193,"D",44.83,53.38,1.79,45.65,54.35,"D",TRUE,54.35,"D"
"5",13,"1/1/62",1962,1,5,"1962_5",7338.4,71.7,0.986692722,8,"United State",176,258,5,62760124,29161465,32713542,885117,3552077,"D",46.46,52.12,1.41,47.13,52.87,"D",TRUE,52.87,"D"
"6",14,"4/1/62",1962,2,6,"1962_6",7417.7,79.3,1.080617028,8,"United State",176,258,5,62760124,29161465,32713542,885117,3552077,"D",46.46,52.12,1.41,47.13,52.87,"D",TRUE,52.87,"D"
"7",15,"7/1/62",1962,3,7,"1962_7",7457.6,39.9,0.537902584,8,"United State",176,258,5,62760124,29161465,32713542,885117,3552077,"D",46.46,52.12,1.41,47.13,52.87,"D",TRUE,52.87,"D"
"8",16,"10/1/62",1962,4,8,"1962_8",7523.7,66.1,0.886344132,8,"United State",176,258,5,62760124,29161465,32713542,885117,3552077,"D",46.46,52.12,1.41,47.13,52.87,"D",TRUE,52.87,"D"
"9",21,"1/1/64",1964,1,5,"1964_5",8022.8,153.9,1.955800684,9,"United State",140,295,4,73565373,30997556,41545599,1022218,10548043,"D",42.14,56.47,1.39,42.73,57.27,"D",TRUE,57.27,"D"
"10",22,"4/1/64",1964,2,6,"1964_6",8239.2,216.4,2.697312659,9,"United State",140,295,4,73565373,30997556,41545599,1022218,10548043,"D",42.14,56.47,1.39,42.73,57.27,"D",TRUE,57.27,"D"
"11",23,"7/1/64",1964,3,7,"1964_7",8346.5,107.3,1.302310904,9,"United State",140,295,4,73565373,30997556,41545599,1022218,10548043,"D",42.14,56.47,1.39,42.73,57.27,"D",TRUE,57.27,"D"
