"","pollster","sponsors","display_name","fte_grade","start_date","end_date","sample_size","population","year","election_date","candidate_name","state","st_fips","cd_fips","st_cd_fips","dem_cand","rep_cand","DEM","REP"
"1","Moore Information","NRCC","Moore Information","B/C","8/3/22","8/7/22","400","lv","2022","11/8/22","John Duarte","California","06","13","0613","Rudy Salas","John Duarte","39","43"
"2","RMG Research","United States Term Limits","RMG Research","B-","7/30/22","8/5/22","400","lv","2022","11/8/22","David G. Valadao","California","06","22","0622","Cindy Axne","David G. Valadao","41","34"
"3","RMG Research","United States Term Limits","RMG Research","B-","7/29/22","8/5/22","400","lv","2022","11/8/22","Zach Nunn","Iowa","19","03","1903","Daniel T. Kildee","Zach Nunn","43","49"
"4","RMG Research","United States Term Limits","RMG Research","B-","7/28/22","8/4/22","400","lv","2022","11/8/22","Paul Junge","Michigan","26","08","2608","Yadira Caraveo","Paul Junge","42","40"
"5","Global Strategy Group",NA,"Global Strategy Group","B/C","7/26/22","8/2/22","500","lv","2022","11/8/22","Barbara Kirkmeyer","Colorado","08","08","0808","Adam Gray","Barbara Kirkmeyer","37","44"
"6","RMG Research","United States Term Limits","RMG Research","B-","7/26/22","8/2/22","400","lv","2022","11/8/22","John Duarte","California","06","13","0613","Dean Phillips","John Duarte","57","37"
"7","Greenberg Quinlan Rosner",NA,"GQR Research","B","7/28/22","8/1/22","507","lv","2022","11/8/22","Tom Weiler","Minnesota","27","03","2703","Vicente Gonzalez","Tom Weiler","47","36"
"8","RMG Research","United States Term Limits","RMG Research","B-","7/23/22","8/1/22","400","lv","2022","11/8/22","Mayra Flores","Texas","48","34","4834","Raja Krishnamoorthi","Mayra Flores","45","43"
"9","RMG Research","United States Term Limits","RMG Research","B-","7/23/22","7/31/22","400","lv","2022","11/8/22","Chris Dargis","Illinois","17","08","1708","Jeff Ettinger","Chris Dargis","38","39"
"10","SurveyUSA","KAAL-TV","SurveyUSA","A","7/26/22","7/30/22","544","lv","2022","8/9/22","Brad Finstad","Minnesota","27","01","2701","Brittany Pettersen","Brad Finstad","44","46"
"11","RMG Research","United States Term Limits","RMG Research","B-","7/24/22","7/30/22","400","lv","2022","11/8/22","Erik Aadland","Colorado","08","07","0807","Susie Lee","Erik Aadland","41","41"
"12","RMG Research","United States Term Limits","RMG Research","B-","7/23/22","7/29/22","400","lv","2022","11/8/22","April Becker","Nevada","32","03","3203","Andy Kim","April Becker","44","44"
"13","RMG Research","United States Term Limits","RMG Research","B-","7/22/22","7/29/22","400","lv","2022","11/8/22","Bob Healey","New Jersey","34","03","3403","Pat Ryan","Bob Healey","39.7","38"
"14","Triton Polling & Research","Freedom Council USA","Triton Polling & Research","C/D","7/26/22","7/28/22","407","lv","2022","8/23/22","Marcus Molinaro","New York","36","19","3619","Andrea Salinas","Marcus Molinaro","40","49.5"
"15","Cygnal Political","NRCC","Cygnal","B+","7/26/22","7/28/22","400","lv","2022","11/8/22","Mike Erickson","Oregon","41","06","4106","Val Hoyle","Mike Erickson","46","47"
"16","Moore Information","NRCC","Moore Information","B/C","7/25/22","7/28/22","400","lv","2022","11/8/22","Alek Skarlatos","Oregon","41","04","4104","Tom Malinowski","Alek Skarlatos","38","41"
"17","RMG Research","United States Term Limits","RMG Research","B-","7/23/22","7/28/22","400","lv","2022","11/8/22","Thomas H. Kean Jr.","New Jersey","34","07","3407","Nikki Budzinski","Thomas H. Kean Jr.","39","46"
