Count,pollster,sample_size,type,bmonth,bday,year,emonth,eday,days_until_election,poll_date,party,support,President_party,H_incumbent,D_majorvote_pct,R_majorvote_pct,D_totalvote_pct,R_totalvote_pct,resid,unrate
1,Quinnipiac,1487,RV,1,4,2014,1,7,302.5,2014-01-07,D,37,D,D,47.09,52.91,45.74,51.39,10.090000000000003,6.2
2,GWU/Battleground,1000,LV,1,12,2014,1,16,294,2014-01-16,D,41,D,D,47.09,52.91,45.74,51.39,6.090000000000003,6.2
3,Quinnipiac,1933,RV,1,15,2014,1,19,291,2014-01-19,D,37,D,D,47.09,52.91,45.74,51.39,10.090000000000003,6.2
4,FOX News,1010,RV,1,19,2014,1,21,288,2014-01-21,D,41,D,D,47.09,52.91,45.74,51.39,6.090000000000003,6.2
5,ABC News/Wash Post,989.8452148,RV,1,20,2014,1,23,286.5,2014-01-23,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
6,PPP (D),845,RV,1,23,2014,1,26,283.5,2014-01-26,D,40,D,D,47.09,52.91,45.74,51.39,7.090000000000003,6.2
7,McClatchy/Marist,970,RV,2,4,2014,2,9,270.5,2014-02-09,D,46,D,D,47.09,52.91,45.74,51.39,1.0900000000000034,6.2
8,CBS News/NY Times,1000.843994,RV,2,19,2014,2,23,256,2014-02-23,D,39,D,D,47.09,52.91,45.74,51.39,8.090000000000003,6.2
9,ABC News/Wash Post,1003.548645,RV,2,27,2014,3,2,248.5,2014-03-02,D,46,D,D,47.09,52.91,45.74,51.39,1.0900000000000034,6.2
10,FOX News,1002,RV,3,2,2014,3,4,246,2014-03-04,D,40,D,D,47.09,52.91,45.74,51.39,7.090000000000003,6.2
11,PPP (D),1152,RV,3,6,2014,3,9,241.5,2014-03-09,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
12,GWU/Battleground,1000,LV,3,16,2014,3,20,231,2014-03-20,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
13,NPR/GQR/Resurgent,840,LV,3,19,2014,3,23,228,2014-03-23,D,44,D,D,47.09,52.91,45.74,51.39,3.0900000000000034,6.2
14,CBS News,1011.121582,RV,3,20,2014,3,23,227.5,2014-03-23,D,39,D,D,47.09,52.91,45.74,51.39,8.090000000000003,6.2
15,Quinnipiac,1578,RV,3,26,2014,3,31,220.5,2014-03-31,D,40,D,D,47.09,52.91,45.74,51.39,7.090000000000003,6.2
16,Reason-Rupe/PSRAI,1003,A,3,26,2014,3,30,221,2014-03-30,D,40,D,D,47.09,52.91,45.74,51.39,7.090000000000003,6.2
17,McClatchy/Marist,1036,RV,4,7,2014,4,10,209.5,2014-04-10,D,48,D,D,47.09,52.91,45.74,51.39,-0.9099999999999966,6.2
18,FOX News,1012,RV,4,13,2014,4,15,204,2014-04-15,D,41,D,D,47.09,52.91,45.74,51.39,6.090000000000003,6.2
19,USA Today/Pew Research,1162,RV,4,23,2014,4,27,193,2014-04-27,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
20,ABC News/Wash Post,855,RV,4,24,2014,4,27,192.5,2014-04-27,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
21,CNN/Opinion Research,911,RV,5,2,2014,5,4,185,2014-05-04,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
22,FOX News,1025,RV,5,10,2014,5,13,176.5,2014-05-13,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
23,CBS News,1006.796082,RV,5,16,2014,5,19,170.5,2014-05-19,D,40,D,D,47.09,52.91,45.74,51.39,7.090000000000003,6.2
24,ABC News/Wash Post,943.0143433,RV,5,29,2014,6,1,157.5,2014-06-01,D,47,D,D,47.09,52.91,45.74,51.39,0.09000000000000341,6.2
25,FOX News,1006,RV,6,1,2014,6,1,156,2014-06-01,D,39,D,D,47.09,52.91,45.74,51.39,8.090000000000003,6.2
26,Bloomberg,763,LV,6,6,2014,6,9,149.5,2014-06-09,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
27,NBC/WSJ,941.8848267,RV,6,11,2014,6,15,144,2014-06-15,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
28,NBC/WSJ,945.6698608,RV,4,23,2014,4,27,193,2014-04-27,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
29,NBC/WSJ,949.454895,RV,3,5,2014,3,9,242,2014-03-09,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
30,NBC/WSJ,952.737854,RV,1,22,2014,1,25,284.5,2014-01-25,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
31,CBS News/NY Times,991.5745239,RV,6,20,2014,6,22,136,2014-06-22,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
32,FOX News,1018,RV,6,21,2014,6,23,135,2014-06-23,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
33,Quinnipiac,1446,RV,6,24,2014,6,30,130,2014-06-30,D,41,D,D,47.09,52.91,45.74,51.39,6.090000000000003,6.2
34,Pew,1420,RV,7,8,2014,7,14,116,2014-07-14,D,47,D,D,47.09,52.91,45.74,51.39,0.09000000000000341,6.2
35,CNN/Opinion Research,899,RV,7,18,2014,7,20,108,2014-07-20,D,48,D,D,47.09,52.91,45.74,51.39,-0.9099999999999966,6.2
37,CBS News,967.8711548,RV,7,29,2014,8,4,95,2014-08-04,D,41,D,D,47.09,52.91,45.74,51.39,6.090000000000003,6.2
38,Reason-Rupe/PSRAI,784.6896973,LV,8,6,2014,8,10,88,2014-08-10,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
39,McClatchy/Marist,806,RV,8,4,2014,8,7,90.5,2014-08-07,D,38,D,D,47.09,52.91,45.74,51.39,9.090000000000003,6.2
40,FOX News,1001,RV,8,10,2014,8,12,85,2014-08-12,D,46,D,D,47.09,52.91,45.74,51.39,1.0900000000000034,6.2
41,USA Today/Pew Research,1171,RV,8,20,2014,8,24,74,2014-08-24,D,47,D,D,47.09,52.91,45.74,51.39,0.09000000000000341,6.2
42,NBC/WSJ,899.682312,RV,7,30,2014,8,3,95,2014-08-03,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
43,GWU/Battleground,1000,LV,8,23,2014,8,28,70.5,2014-08-28,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
44,ABC News/Wash Post,749.7816162,LV,9,4,2014,9,7,59.5,2014-09-07,D,44,D,D,47.09,52.91,45.74,51.39,3.0900000000000034,6.2
45,CNN/Opinion Research,731.6229248,LV,9,5,2014,9,7,59,2014-09-07,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
46,FOX News,833,LV,9,7,2014,9,9,57,2014-09-09,D,40,D,D,47.09,52.91,45.74,51.39,7.090000000000003,6.2
47,Pew Research,1150,LV,9,2,2014,9,9,59.5,2014-09-09,D,44,D,D,47.09,52.91,45.74,51.39,3.0900000000000034,6.2
48,CBS News/NY Times,470,LV,9,12,2014,9,15,51.5,2014-09-15,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
49,CNN/Opinion Research,701,LV,9,25,2014,9,28,38.5,2014-09-28,D,47,D,D,47.09,52.91,45.74,51.39,0.09000000000000341,6.2
50,McClatchy/Marist,884,RV,9,24,2014,9,29,38.5,2014-09-29,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
51,FOX News,845,LV,9,28,2014,9,30,36,2014-09-30,D,40,D,D,47.09,52.91,45.74,51.39,7.090000000000003,6.2
52,CBS News,575,LV,10,3,2014,10,6,30.5,2014-10-06,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
53,Reason/Rupe,897.1810303,RV,10,1,2014,10,6,31.5,2014-10-06,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
54,NBC/WSJ,666,LV,10,8,2014,10,12,25,2014-10-12,D,47,D,D,47.09,52.91,45.74,51.39,0.09000000000000341,6.2
55,ABC News/Wash Post,629,LV,10,9,2014,10,12,24.5,2014-10-12,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
56,FOX News,831,LV,10,12,2014,10,14,22,2014-10-14,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
57,Pew Research,1126,LV,10,15,2014,10,20,17.5,2014-10-20,D,47,D,D,47.09,52.91,45.74,51.39,0.09000000000000341,6.2
58,Associated Press/GfK,968,LV,10,16,2014,10,20,17,2014-10-20,D,32,D,D,47.09,52.91,45.74,51.39,15.090000000000003,6.2
59,Democracy Corps,698,LV,10,16,2014,10,21,16.5,2014-10-21,D,46,D,D,47.09,52.91,45.74,51.39,1.0900000000000034,6.2
60,CNN/Opinion Research,540,LV,10,24,2014,10,26,10,2014-10-26,D,47,D,D,47.09,52.91,45.74,51.39,0.09000000000000341,6.2
61,ABC News/Wash Post,758,LV,10,23,2014,10,26,10.5,2014-10-26,D,44,D,D,47.09,52.91,45.74,51.39,3.0900000000000034,6.2
62,FOX News,734,LV,10,25,2014,10,27,9,2014-10-27,D,45,D,D,47.09,52.91,45.74,51.39,2.0900000000000034,6.2
63,CBS News,624,LV,10,23,2014,10,27,10,2014-10-27,D,42,D,D,47.09,52.91,45.74,51.39,5.090000000000003,6.2
64,USA Today/PSRAI,697,LV,10,23,2014,10,26,10.5,2014-10-26,D,43,D,D,47.09,52.91,45.74,51.39,4.090000000000003,6.2
65,NBC News/Wall St. Jrnl,826,LV,10,30,2014,11,1,4,2014-11-01,D,48,D,D,47.09,52.91,45.74,51.39,-0.9099999999999966,6.2
590,NA,1510,NA,1,13,1990,1,16,295.5,1990-01-16,D,31,R,D,54.09,45.91,52.96,44.95,23.090000000000003,5.5
591,NA,745,NA,11,2,1990,11,4,3,1990-11-04,D,50,R,D,54.09,45.91,52.96,44.95,4.090000000000003,5.5
592,NA,1500,NA,7,19,1990,7,23,108,1990-07-23,D,51,R,D,54.09,45.91,52.96,44.95,3.0900000000000034,5.5
593,NA,3004,NA,5,1,1990,5,31,174,1990-05-31,D,48,R,D,54.09,45.91,52.96,44.95,6.090000000000003,5.5
594,NA,1555,NA,7,6,1990,7,10,121,1990-07-10,D,36,R,D,54.09,45.91,52.96,44.95,18.090000000000003,5.5
595,NA,1508,NA,9,15,1990,9,18,50.5,1990-09-18,D,37,R,D,54.09,45.91,52.96,44.95,17.090000000000003,5.5
596,NA,500,NA,10,10,1990,10,10,27,1990-10-10,D,44,R,D,54.09,45.91,52.96,44.95,10.090000000000003,5.5
597,NA,1007,NA,5,18,1990,5,22,170,1990-05-22,D,33,R,D,54.09,45.91,52.96,44.95,21.090000000000003,5.5
598,NA,902,NA,10,26,1990,10,30,9,1990-10-30,D,53,R,D,54.09,45.91,52.96,44.95,1.0900000000000034,5.5
599,NA,1494,NA,2,26,1990,3,1,251.5,1990-03-01,D,31,R,D,54.09,45.91,52.96,44.95,23.090000000000003,5.5
600,NA,1003,NA,3,10,1990,3,13,239.5,1990-03-13,D,34,R,D,54.09,45.91,52.96,44.95,20.090000000000003,5.5
601,NA,1009,NA,10,11,1990,10,14,24.5,1990-10-14,D,47,R,D,54.09,45.91,52.96,44.95,7.090000000000003,5.5
602,NA,1255,NA,7,13,1990,7,18,113.5,1990-07-18,D,49,R,D,54.09,45.91,52.96,44.95,5.090000000000003,5.5
603,NA,507,NA,10,30,1990,10,31,6.5,1990-10-31,D,35,R,D,54.09,45.91,52.96,44.95,19.090000000000003,5.5
604,NA,1019,NA,10,19,1990,10,21,17,1990-10-21,D,40,R,D,54.09,45.91,52.96,44.95,14.090000000000003,5.5
605,NA,1200,NA,9,10,1990,9,12,56,1990-09-12,D,45,R,D,54.09,45.91,52.96,44.95,9.090000000000003,5.5
606,NA,500,NA,10,3,1990,10,3,34,1990-10-03,D,43,R,D,54.09,45.91,52.96,44.95,11.090000000000003,5.5
607,NA,1028,NA,11,5,1990,11,6,0.5,1990-11-06,D,48,R,D,54.09,45.91,52.96,44.95,6.090000000000003,5.5
608,NA,799,NA,10,25,1990,10,28,10.5,1990-10-28,D,50,R,D,54.09,45.91,52.96,44.95,4.090000000000003,5.5
609,NA,1526,NA,5,17,1990,5,21,171,1990-05-21,D,47,R,D,54.09,45.91,52.96,44.95,7.090000000000003,5.5
610,NA,1000,NA,9,27,1990,9,30,38.5,1990-09-30,D,49,R,D,54.09,45.91,52.96,44.95,5.090000000000003,5.5
611,NA,1011,NA,9,6,1990,9,18,55,1990-09-18,D,45,R,D,54.09,45.91,52.96,44.95,9.090000000000003,5.5
612,NA,1015,NA,11,2,1990,11,4,3,1990-11-04,D,51,R,D,54.09,45.91,52.96,44.95,3.0900000000000034,5.5
613,NA,1227,NA,8,9,1990,8,12,87.5,1990-08-12,D,47,R,D,54.09,45.91,52.96,44.95,7.090000000000003,5.5
614,NA,1006,NA,10,10,1990,10,14,25,1990-10-14,D,49,R,D,54.09,45.91,52.96,44.95,5.090000000000003,5.5
674,NA,1029,NA,3,25,1994,3,27,227,1994-03-27,D,50,D,D,46.41,53.59,45.4,52.43,-3.5900000000000034,6.1
676,NA,756,NA,6,11,1994,6,12,149.5,1994-06-12,D,50,D,D,46.41,53.59,45.4,52.43,-3.5900000000000034,6.1
677,NA,1255,NA,9,24,1994,9,27,43.5,1994-09-27,D,39,D,D,46.41,53.59,45.4,52.43,7.409999999999997,6.1
678,NA,1005,NA,7,23,1994,7,26,106.5,1994-07-26,D,35,D,D,46.41,53.59,45.4,52.43,11.409999999999997,6.1
679,NA,1531,NA,6,23,1994,6,26,136.5,1994-06-26,D,44,D,D,46.41,53.59,45.4,52.43,2.4099999999999966,6.1
680,NA,1022,NA,9,6,1994,9,7,62.5,1994-09-07,D,46,D,D,46.41,53.59,45.4,52.43,0.4099999999999966,6.1
681,NA,1009,NA,1,15,1994,1,18,295.5,1994-01-18,D,34,D,D,46.41,53.59,45.4,52.43,12.409999999999997,6.1
682,NA,1000,NA,8,16,1994,8,18,83,1994-08-18,D,39,D,D,46.41,53.59,45.4,52.43,7.409999999999997,6.1
683,NA,1250,NA,9,18,1994,9,21,49.5,1994-09-21,D,42,D,D,46.41,53.59,45.4,52.43,4.409999999999997,6.1
684,NA,1009,NA,9,20,1994,9,21,48.5,1994-09-21,D,45,D,D,46.41,53.59,45.4,52.43,1.4099999999999966,6.1
685,NA,1509,NA,10,14,1994,10,18,23,1994-10-18,D,36,D,D,46.41,53.59,45.4,52.43,10.409999999999997,6.1
686,NA,600,NA,6,2,1994,6,2,159,1994-06-02,D,40,D,D,46.41,53.59,45.4,52.43,6.409999999999997,6.1
687,NA,1006,NA,10,28,1994,11,1,9,1994-11-01,D,42,D,D,46.41,53.59,45.4,52.43,4.409999999999997,6.1
688,NA,1006,NA,10,18,1994,10,19,20.5,1994-10-19,D,46,D,D,46.41,53.59,45.4,52.43,0.4099999999999966,6.1
689,NA,1015,NA,8,5,1994,8,7,94,1994-08-07,D,49,D,D,46.41,53.59,45.4,52.43,-2.5900000000000034,6.1
690,NA,1998,NA,11,2,1994,11,6,4,1994-11-06,D,47,D,D,46.41,53.59,45.4,52.43,-0.5900000000000034,6.1
691,NA,1000,NA,10,21,1994,10,23,17,1994-10-23,D,40,D,D,46.41,53.59,45.4,52.43,6.409999999999997,6.1
692,NA,1515,NA,7,23,1994,7,26,106.5,1994-07-26,D,44,D,D,46.41,53.59,45.4,52.43,2.4099999999999966,6.1
693,NA,800,NA,10,11,1994,10,12,27.5,1994-10-12,D,35,D,D,46.41,53.59,45.4,52.43,11.409999999999997,6.1
694,NA,1015,NA,2,26,1994,2,28,254,1994-02-28,D,46,D,D,46.41,53.59,45.4,52.43,0.4099999999999966,6.1
695,NA,1523,NA,5,12,1994,5,15,178.5,1994-05-15,D,44,D,D,46.41,53.59,45.4,52.43,2.4099999999999966,6.1
696,NA,1502,NA,6,10,1994,6,14,149,1994-06-14,D,35,D,D,46.41,53.59,45.4,52.43,11.409999999999997,6.1
698,NA,1531,NA,2,24,1994,2,27,255.5,1994-02-27,D,49,D,D,46.41,53.59,45.4,52.43,-2.5900000000000034,6.1
699,NA,1522,NA,9,8,1994,9,11,59.5,1994-09-11,D,50,D,D,46.41,53.59,45.4,52.43,-3.5900000000000034,6.1
700,NA,802,NA,11,4,1994,11,5,3.5,1994-11-05,D,37,D,D,46.41,53.59,45.4,52.43,9.409999999999997,6.1
701,NA,800,NA,9,21,1994,9,22,47.5,1994-09-22,D,37,D,D,46.41,53.59,45.4,52.43,9.409999999999997,6.1
702,NA,1000,NA,4,20,1994,4,24,200,1994-04-24,D,44,D,D,46.41,53.59,45.4,52.43,2.4099999999999966,6.1
703,NA,1000,NA,10,25,1994,10,26,13.5,1994-10-26,D,41,D,D,46.41,53.59,45.4,52.43,5.409999999999997,6.1
704,NA,1007,NA,10,22,1994,10,25,15.5,1994-10-25,D,49,D,D,46.41,53.59,45.4,52.43,-2.5900000000000034,6.1
705,NA,1013,NA,10,7,1994,10,9,31,1994-10-09,D,46,D,D,46.41,53.59,45.4,52.43,0.4099999999999966,6.1
706,NA,1005,NA,10,7,1994,10,11,30,1994-10-11,D,38,D,D,46.41,53.59,45.4,52.43,8.409999999999997,6.1
707,NA,1011,NA,8,15,1994,8,16,84.5,1994-08-16,D,44,D,D,46.41,53.59,45.4,52.43,2.4099999999999966,6.1
710,NA,1036,NA,3,25,1994,3,27,227,1994-03-27,D,50,D,D,46.41,53.59,45.4,52.43,-3.5900000000000034,6.1
711,NA,1000,NA,8,17,1994,8,18,82.5,1994-08-18,D,42,D,D,46.41,53.59,45.4,52.43,4.409999999999997,6.1
712,NA,1011,NA,10,20,1994,10,23,17.5,1994-10-23,D,51,D,D,46.41,53.59,45.4,52.43,-4.590000000000003,6.1
