U.S. HOUSE OF REPRESENTATIVES National Summary 2014
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20141104,N/A,Alabama,6,1,0,"704,533","331,764","44,583","372,769",R,67.99,32.01
House,20141104,N/A,Alaska,1,0,0,"142,572","114,602","22,567","27,970",R,55.44,44.56
House,20141104,N/A,Arizona,5,4,0,"817,168","577,943","72,490","239,225",R,58.57,41.43
House,20141104,N/A,Arkansas,4,0,0,"509,631","254,774","66,247","254,857",R,66.67,33.33
House,20141104,N/A,California,14,39,0,"2,950,679","4,067,957","114,005","1,117,278",D,42.04,57.96
House,20141104,N/A,Colorado,4,3,0,"1,000,197","936,417","63,911","63,780",R,51.65,48.35
House,20141104,N/A,Connecticut,0,5,0,"418,589","638,695","10,573","220,106",D,39.59,60.41
House,20141104,N/A,Delaware,0,1,0,"85,146","137,251","9,220","52,105",D,38.29,61.71
House,20141104,N/A,Florida,17,10,0,"2,713,451","2,130,626","154,478","582,825",R,56.02,43.98
House,20141104,N/A,Georgia,10,4,0,"1,349,076","956,361",228,"392,715",R,58.52,41.48
House,20141104,N/A,Hawaii,0,2,0,"120,084","235,400","4,693","115,316",D,33.78,66.22
House,20141104,N/A,Idaho,2,0,0,"275,072","160,078",7,"114,994",R,63.21,36.79
House,20141104,N/A,Illinois,8,10,0,"1,721,865","1,822,779","23,358","100,914",D,48.58,51.42
House,20141104,N/A,Indiana,7,2,0,"793,759","502,104","44,951","291,655",R,61.25,38.75
House,20141104,N/A,Iowa,3,1,0,"595,865","509,189","15,280","86,676",R,53.92,46.08
House,20141104,N/A,Kansas,4,0,0,"540,756","311,530","9,791","229,226",R,63.45,36.55
House,20141104,N/A,Kentucky,5,1,0,"887,157","508,151","2,318","379,006",R,63.58,36.42
House,20141104,N/A,Louisiana,3,1,0,"549,859","236,053","123,849","313,806",R,69.96,30.04
House,20141104,N/A,Louisiana,2,0,0,"273,825","158,787",0,"115,038",R,63.30,36.70
House,20141104,N/A,Maine,1,1,0,"228,059","305,230","59,057","77,171",D,42.76,57.24
House,20141104,N/A,Maryland,1,7,0,"704,400","978,267","20,370","273,867",D,41.86,58.14
House,20141104,N/A,Massachusetts,0,9,0,"308,598","1,475,442","29,776","1,166,844",D,17.30,82.70
House,20141104,N/A,Michigan,9,5,0,"1,466,749","1,519,030","103,698","52,281",D,49.12,50.88
House,20141104,N/A,Minnesota,3,5,0,"913,539","985,760","64,240","72,221",D,48.10,51.90
