year,D total_popular_vote,R total_popular_vote,D popular_vote_pct,R popular_vote_pct,total_popular_vote (2-party),total_popular_vote_all (all parties)
1948,20958364,17107009,0.550588694,0.449411306,38065373,
1950,19785122,19750393,0.500439213,0.499560787,39535515,
1952,28336127,28399286,0.49944339,0.50055661,56735413,
1954,22177088,20034763,0.525375871,0.474624129,42211851,42582927
1956,29831606,28697321,0.509689952,0.490310048,58528927,58885743
1958,23365961,19943882,0.539506943,0.460493057,43309843,45718994
1960,34844338,28750866,0.547908267,0.452091733,63595204,64124310
1962,26694634,24160387,0.524916389,0.475083611,50855021,51242188
1964,37487445,27908176,0.573240906,0.426759095,65395621,65879186
1966,26712142,25408798,0.512503075,0.487496925,52120940,52901975
1968,33045283,31850140,0.509208223,0.490791777,64895423,66109209
1970,28781048,24121959,0.544034255,0.455965745,52903007,54258885
1972,36780100,33064172,0.526601523,0.473398477,69844272,71188405
1974,29872842,21165583,0.585301016,0.414698984,51038425,52313457
1976,41241509,31302910,0.568500094,0.431499906,72544419,74259164
1978,29129007,24401021,0.544161998,0.455838002,53530028,54583922
1980,39178066,37068791,0.513831882,0.486168118,76246857,77873917
1982,35126406,27606014,0.559940235,0.440059765,62732420,63880844
1984,42799060,38540762,0.526175973,0.473824027,81339822,82421838
1986,32338342,26384083,0.550698341,0.44930166,58722425,59758397
1988,43472080,37015851,0.540106814,0.459893186,80487931,81682185
1990,32397732,27402036,0.541770196,0.458229805,59799768,62354853
1992,48550096,43498015,0.527442611,0.472557389,92048111,97198316
1994,31542823,36325809,0.464762911,0.535237089,67868632,70493648
1996,43393580,43120872,0.501576084,0.498423917,86514452,90233467
1998,31391834,31983612,0.495331173,0.504668827,63375446,66604802
2000,46411559,46750175,0.498182644,0.501817356,93161734,98799963
2002,18956449,20626192,0.478908141,0.521091859,39582641,41689666
2004,52745121,55713412,0.48631601,0.51368399,108458533,113192286
2006,42082311,35674808,0.541202035,0.458797966,77757119,80975537
2008,64888090,51952981,0.555353434,0.444646566,116841071,122586293
2010,44593666,38854459,0.534387873,0.465612127,83448125,86784957
2012,59214910,57622827,0.506813223,0.493186778,116837737,122346020
2014,35368840,39926526,0.469734618,0.530265382,75295366,78812769
2016,61417454,62772225,0.494545557,0.505454443,124189679,129833250
2018,60319623,50467181,0.544465774,0.455534226,110786804,114016831
2020,77122690,72466576,0.515562995,0.484437005,149589266,153431405
