Office,State,CensusPop,raceYear,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,raceNotes,st_fips,state_abb,CD,district_num,district_id,WinnerParty,TotalVotesMajor,vote_margin,R_vote_margin
House,Alabama,NA,2020,District 1,211825,"Carl, Jerry",Challenger,116949,"Averhart, James",Challenger,Write-in,301,Scattered Write-Ins,Challenger,NA,94876,R,0.09,64.43,35.57,NA,1,AL,AL-01,1,AL01,R,328774,0.288575131,0.2886
House,Alabama,NA,2020,District 2,197996,"Moore, Barry",Challenger,105286,"Harvey-Hall, Phyllis",Challenger,Libertarian,287,"Page, John C",Challenger,NA,92710,R,0.09,65.28,34.72,NA,1,AL,AL-02,2,AL02,R,303282,0.305689095,0.3056
House,Alabama,NA,2020,District 3,217384,"Rogers, Mike D.",Incumbent,104595,"Winfrey, Adia McClellan",Challenger,Write-in,255,Scattered Write-Ins,Challenger,NA,112789,R,0.08,67.51,32.49,NA,1,AL,AL-03,3,AL03,R,321979,0.350299243,0.3502
House,Alabama,NA,2020,District 4,261553,"Aderholt, Robert",Incumbent,56237,"Neighbors, Rick",Challenger,Write-in,293,Scattered Write-Ins,Challenger,NA,205316,R,0.09,82.3,17.7,NA,1,AL,AL-04,4,AL04,R,317790,0.646074452,0.646
House,Alabama,NA,2020,District 5,253094,"Brooks, Mo",Incumbent,0,NA,NA,Write-in,11066,Scattered Write-Ins,Challenger,NA,242028,R,4.19,100,0,NA,1,AL,AL-05,5,AL05,R,253094,0.956277114,1
House,Alabama,NA,2020,District 6,274160,"Palmer, Gary",Incumbent,0,NA,NA,Independent,8101,"Pellegrino, Kaynen Bryant",Challenger,NA,266059,R,2.87,100,0,NA,1,AL,AL-06,6,AL06,R,274160,0.970451561,1
House,Alabama,NA,2020,District 7,0,NA,NA,225742,"Sewell, Terri A.",Incumbent,Write-in,6589,Scattered Write-Ins,Challenger,NA,219153,D,2.84,0,100,NA,1,AL,AL-07,7,AL07,D,225742,0.970811812,-1
House,Alaska,NA,2020,At Large,192126,"Young, Don",Incumbent,159856,"Galvin, Alyse  S.",Challenger,Write-in,1183,Write-In,Challenger,NA,32270,R,0.33,54.58,45.42,NA,2,AK,AK-AL,0,AK00,R,351982,0.091680825,0.0916
House,Arizona,NA,2020,District 1,176709,"Shedd, Tiffany",Challenger,188469,"O'Halleran, Tom",Incumbent,NA,NA,NA,NA,NA,11760,D,0,48.39,51.61,NA,4,AZ,AZ-01,1,AZ01,D,365178,0.032203473,-0.0322
House,Arizona,NA,2020,District 2,170975,"Martin, Brandon",Challenger,209945,"Kirkpatrick, Ann",Incumbent,NA,NA,NA,NA,NA,38970,D,0,44.88,55.12,NA,4,AZ,AZ-02,2,AZ02,D,380920,0.102304946,-0.1024
