,date,year,quarter_yr,quarter_cycle,year_qt,DSPIC_qt,DSPIC_change_qt,DSPIC_change_pct
1,1/1/59,1959,1,1,1959_1,6587.4,0,0
2,4/1/59,1959,2,2,1959_2,6693.7,106.3,1.613686735
3,7/1/59,1959,3,3,1959_3,6684.6,-9.1,-0.135948728
4,10/1/59,1959,4,4,1959_4,6732.1,47.5,0.710588517
5,1/1/60,1960,1,5,1960_5,6809.9,77.8,1.155657224
6,4/1/60,1960,2,6,1960_6,6853.9,44,0.646118152
7,7/1/60,1960,3,7,1960_7,6867,13.1,0.191132056
8,10/1/60,1960,4,8,1960_8,6864.1,-2.9,-0.04223096
9,1/1/61,1961,1,1,1961_1,6928.9,64.8,0.944042191
10,4/1/61,1961,2,2,1961_2,7034.2,105.3,1.519721745
11,7/1/61,1961,3,3,1961_3,7127.9,93.7,1.332063348
12,10/1/61,1961,4,4,1961_4,7266.7,138.8,1.947277599
13,1/1/62,1962,1,5,1962_5,7338.4,71.7,0.986692722
14,4/1/62,1962,2,6,1962_6,7417.7,79.3,1.080617028
15,7/1/62,1962,3,7,1962_7,7457.6,39.9,0.537902584
16,10/1/62,1962,4,8,1962_8,7523.7,66.1,0.886344132
17,1/1/63,1963,1,1,1963_1,7589.1,65.4,0.86925316
18,4/1/63,1963,2,2,1963_2,7658.9,69.8,0.919740154
19,7/1/63,1963,3,3,1963_3,7742.7,83.8,1.094151902
20,10/1/63,1963,4,4,1963_4,7868.9,126.2,1.629922378
21,1/1/64,1964,1,5,1964_5,8022.8,153.9,1.955800684
22,4/1/64,1964,2,6,1964_6,8239.2,216.4,2.697312659
23,7/1/64,1964,3,7,1964_7,8346.5,107.3,1.302310904
24,10/1/64,1964,4,8,1964_8,8441.6,95.1,1.139399748
25,1/1/65,1965,1,1,1965_1,8540.9,99.3,1.176317286
26,4/1/65,1965,2,2,1965_2,8637.2,96.3,1.127515836
27,7/1/65,1965,3,3,1965_3,8873.4,236.2,2.734682536
28,10/1/65,1965,4,4,1965_4,9052,178.6,2.012757229
29,1/1/66,1966,1,5,1966_5,9141.7,89.7,0.990941228
30,4/1/66,1966,2,6,1966_6,9165.8,24.1,0.263627115
31,7/1/66,1966,3,7,1966_7,9277.8,112,1.22193371
32,10/1/66,1966,4,8,1966_8,9386.5,108.7,1.17161396
33,1/1/67,1967,1,1,1967_1,9528.2,141.7,1.509614872
34,4/1/67,1967,2,2,1967_2,9603.8,75.6,0.793434227
35,7/1/67,1967,3,3,1967_3,9695.1,91.3,0.950665362
36,10/1/67,1967,4,4,1967_4,9766,70.9,0.731297253
37,1/1/68,1968,1,5,1968_5,9928.6,162.6,1.664960066
38,4/1/68,1968,2,6,1968_6,10092.1,163.5,1.646757851
39,7/1/68,1968,3,7,1968_7,10124.4,32.3,0.320052318
40,10/1/68,1968,4,8,1968_8,10202.6,78.2,0.77239145
