"","year","AreaAll","R_seats","D_seats","Other_seats","total_votes","R_votes","D_votes","Other_votes","winning_vote_margin","winner_party","R_totalvote_pct","D_totalvote_pct","Other_totalvote_pct","R_majorvote_pct","D_majorvote_pct","president_party","H_incumbent_party_winner","H_incumbent_party_majorvote_pct","H_incumbent_party"
"1",1948,"United State",171,263,17,49560252,21613079,24762972,3184201,3149893,"D",43.61,49.97,6.42,46.6,53.4,"D",FALSE,46.6,"R"
"2",1950,"United State",199,234,16,44050445,20925177,20681636,2443632,243541,"R",47.5,46.95,5.55,50.29,49.71,"D",FALSE,49.71,"D"
"3",1952,"United State",221,213,19,61803866,28860092,30255614,2688160,1395522,"D",46.7,48.95,4.35,48.82,51.18,"R",FALSE,48.82,"R"
"4",1954,"United State",203,232,7,45251283,21092608,23223158,935517,2130550,"D",46.61,51.32,2.07,47.6,52.4,"R",TRUE,52.4,"D"
"5",1956,"United State",201,234,9,62457894,29829376,31354867,1273651,1525491,"D",47.76,50.2,2.04,48.75,51.25,"R",TRUE,51.25,"D"
"6",1958,"United State",153,283,11,46851436,20435025,24943266,1473145,4508241,"D",43.62,53.24,3.14,45.03,54.97,"R",TRUE,54.97,"D"
"7",1960,"United State",175,262,5,65678881,29445993,35060186,1172702,5614193,"D",44.83,53.38,1.79,45.65,54.35,"D",TRUE,54.35,"D"
"8",1962,"United State",176,258,5,62760124,29161465,32713542,885117,3552077,"D",46.46,52.12,1.41,47.13,52.87,"D",TRUE,52.87,"D"
"9",1964,"United State",140,295,4,73565373,30997556,41545599,1022218,10548043,"D",42.14,56.47,1.39,42.73,57.27,"D",TRUE,57.27,"D"
"10",1966,"United State",187,248,3,53199376,25700061,26596037,903278,895976,"D",48.31,49.99,1.7,49.14,50.86,"D",TRUE,50.86,"D"
"11",1968,"United State",192,243,0,66455377,32183586,33395717,876074,1212131,"D",48.43,50.25,1.32,49.08,50.92,"R",TRUE,50.92,"D"
"12",1970,"United State",180,255,0,54147415,24414855,28921540,811020,4506685,"D",45.09,53.41,1.5,45.78,54.22,"R",TRUE,54.22,"D"
"13",1972,"United State",192,242,1,71254917,33160947,37120058,973912,3959111,"D",46.54,52.09,1.37,47.18,52.82,"R",TRUE,52.82,"D"
"14",1974,"United State",144,291,0,52324462,21286921,30089520,948021,8802599,"D",40.68,57.51,1.81,41.43,58.57,"R",TRUE,58.57,"D"
"15",1976,"United State",143,292,0,74256718,31241822,41742193,1272703,10500371,"D",42.07,56.21,1.71,42.81,57.19,"D",TRUE,57.19,"D"
"16",1978,"United State",158,277,0,55261245,24891165,29587800,782280,4696635,"D",45.04,53.54,1.42,45.69,54.31,"D",TRUE,54.31,"D"
"17",1980,"United State",192,242,1,77865321,37320299,39289061,1255961,1968762,"D",47.93,50.46,1.61,48.72,51.28,"R",TRUE,51.28,"D"
"18",1982,"United State",166,269,1,64362196,27796580,35588614,977002,7792034,"D",43.19,55.29,1.52,43.85,56.15,"R",TRUE,56.15,"D"
"19",1984,"United State",182,253,0,82995246,38894020,43371948,729278,4477928,"D",46.86,52.26,0.88,47.28,52.72,"R",TRUE,52.72,"D"
"20",1986,"United State",177,258,0,59899733,26599585,32758176,541972,6158591,"D",44.41,54.69,0.9,44.81,55.19,"R",TRUE,55.19,"D"
"21",1988,"United State",175,260,0,82022316,37305980,43793276,923060,6487296,"D",45.48,53.39,1.13,46,54,"R",TRUE,54,"D"
"22",1990,"United State",167,267,1,62407173,28052184,33052166,1302823,4999982,"D",44.95,52.96,2.09,45.91,54.09,"R",TRUE,54.09,"D"
"23",1992,"United State",176,258,1,95216606,43257458,48511831,3447317,5254373,"D",45.43,50.95,3.62,47.14,52.86,"D",TRUE,52.86,"D"
"24",1994,"United State",230,204,1,70763202,37099921,32124517,1538764,4975404,"R",52.43,45.4,2.17,53.59,46.41,"D",FALSE,46.41,"D"
"25",1996,"United State",226,207,2,88217606,42842236,43110112,2265258,267876,"D",48.56,48.87,2.57,49.84,50.16,"D",FALSE,49.84,"R"
"26",1998,"United State",223,211,1,65896772,32254557,31482036,2160179,772521,"R",48.95,47.77,3.28,50.61,49.39,"D",FALSE,49.39,"D"
"27",2000,"United State",221,212,2,97226268,46954281,46520851,3751136,433430,"R",48.29,47.85,3.86,50.23,49.77,"R",TRUE,50.23,"R"
"28",2002,"United State",229,204,1,73449133,37387921,33758288,2302924,3629633,"R",50.9,45.96,3.14,52.55,47.45,"R",TRUE,52.55,"R"
"29",2004,"United State",232,202,1,111619190,55956623,52971423,2691144,2985200,"R",50.13,47.46,2.41,51.37,48.63,"R",TRUE,51.37,"R"
"30",2006,"United State",202,233,0,80051355,35884573,42281320,1885462,6396747,"D",44.83,52.82,2.36,45.91,54.09,"R",FALSE,45.91,"R"
"31",2008,"United State",178,256,0,120720320,52187151,65247248,3285921,13060097,"D",43.23,54.05,2.72,44.44,55.56,"D",TRUE,55.56,"D"
"32",2010,"United State",242,193,0,83583446,43288427,37663261,2631758,5625166,"R",51.79,45.06,3.15,53.47,46.53,"D",FALSE,46.53,"D"
"33",2012,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,"D",FALSE,49.39,"R"
"34",2014,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,"D",FALSE,47.09,"D"
"35",2016,"United State",241,194,0,128377310,62977862,61730626,3668822,1247236,"R",49.06,48.09,2.86,50.5,49.5,"R",TRUE,50.5,"R"
"36",2018,"United State",199,235,0,113985831,51117086,60860585,2008160,9743499,"D",44.85,53.39,1.76,45.65,54.35,"R",FALSE,45.65,"R"
"37",2020,"United State",212,222,0,152701256,72916809,77430912,2353535,4514103,"D",47.75,50.71,1.54,48.5,51.5,"D",TRUE,51.5,"D"
