Count,FIPS Code,State and area,Year,Month,Population,LaborForce,LaborForce_prct,Employed,Employed_prct,Unemployed,Unemployed_prct
1,1,Alabama,1976,1,2605000,1492409,57.3,1392154,53.4,100255,6.7
2,2,Alaska,1976,1,232000,159154,68.6,147809,63.7,11345,7.1
3,4,Arizona,1976,1,1621000,972413,60,872738,53.8,99675,10.3
4,5,Arkansas,1976,1,1536000,882835,57.5,817756,53.2,65079,7.4
5,6,California,1976,1,15621000,9781720,62.6,8892663,56.9,889057,9.1
6,37,Los Angeles County,1976,1,5273000,3375681,64,3078200,58.4,297481,8.8
7,8,Colorado,1976,1,1832000,1232334,67.3,1164563,63.6,67771,5.5
8,9,Connecticut,1976,1,2248000,1443606,64.2,1302422,57.9,141184,9.8
9,10,Delaware,1976,1,417000,262688,63,242382,58.1,20306,7.7
10,11,District of Columbia,1976,1,520000,339378,65.3,308820,59.4,30558,9
11,12,Florida,1976,1,6421000,3592149,55.9,3248523,50.6,343626,9.6
12,13,Georgia,1976,1,3522000,2250451,63.9,2061744,58.5,188707,8.4
13,15,Hawaii,1976,1,583000,408869,70.1,367414,63,41455,10.1
14,16,Idaho,1976,1,580000,366173,63.1,346216,59.7,19957,5.5
15,17,Illinois,1976,1,8127000,5133491,63.2,4788469,58.9,345022,6.7
16,18,Indiana,1976,1,3789000,2418961,63.8,2260951,59.7,158010,6.5
17,19,Iowa,1976,1,2066000,1324627,64.1,1269103,61.4,55524,4.2
18,20,Kansas,1976,1,1635000,1061055,64.9,1015585,62.1,45470,4.3
19,21,Kentucky,1976,1,2459000,1489641,60.6,1406646,57.2,82995,5.6
20,22,Louisiana,1976,1,2672000,1513827,56.7,1417816,53.1,96011,6.3
21,23,Maine,1976,1,764000,475639,62.3,433990,56.8,41649,8.8
22,24,Maryland,1976,1,2954000,1905561,64.5,1781850,60.3,123711,6.5
23,25,Massachusetts,1976,1,4194000,2715161,64.7,2435124,58.1,280037,10.3
24,26,Michigan,1976,1,6417000,3959251,61.7,3568988,55.6,390263,9.9
25,27,Minnesota,1976,1,2788000,1832797,65.7,1722777,61.8,110020,6
26,28,Mississippi,1976,1,1640000,961115,58.6,896774,54.7,64341,6.7
27,29,Missouri,1976,1,3464000,2088814,60.3,1963951,56.7,124863,6
28,30,Montana,1976,1,531000,327276,61.6,308066,58,19210,5.9
29,31,Nebraska,1976,1,1095000,715752,65.4,692137,63.2,23615,3.3
30,32,Nevada,1976,1,451000,322417,71.5,293574,65.1,28843,8.9
31,33,New Hampshire,1976,1,593000,391585,66,364963,61.5,26622,6.8
32,34,New Jersey,1976,1,5358000,3281099,61.2,2944762,55,336337,10.3
33,35,New Mexico,1976,1,792000,475004,60,432875,54.7,42129,8.9
34,36,New York,1976,1,13196000,7687165,58.3,6896554,52.3,790611,10.3
35,51000,New York city,1976,1,5694000,3114007,54.7,2768623,48.6,345384,11.1
36,37,North Carolina,1976,1,3898000,2596329,66.6,2428430,62.3,167899,6.5
37,38,North Dakota,1976,1,442000,275609,62.4,266394,60.3,9215,3.3
38,39,Ohio,1976,1,7701000,4756109,61.8,4371860,56.8,384249,8.1
39,40,Oklahoma,1976,1,1999000,1180825,59.1,1110620,55.6,70205,5.9
40,41,Oregon,1976,1,1716000,1074151,62.6,969974,56.5,104177,9.7
41,42,Pennsylvania,1976,1,8774000,5105548,58.2,4693332,53.5,412216,8.1
42,44,Rhode Island,1976,1,691000,434960,62.9,399599,57.8,35361,8.1
43,45,South Carolina,1976,1,1984000,1292816,65.2,1195062,60.2,97754,7.6
44,46,South Dakota,1976,1,477000,308735,64.7,298900,62.7,9835,3.2
45,47,Tennessee,1976,1,3078000,1819844,59.1,1710143,55.6,109701,6
46,48,Texas,1976,1,8818000,5627987,63.8,5298778,60.1,329209,5.8
47,49,Utah,1976,1,824000,519498,63,489265,59.4,30233,5.8
48,50,Vermont,1976,1,339000,213667,63,195099,57.6,18568,8.7
49,51,Virginia,1976,1,3534000,2328545,65.9,2190847,62,137698,5.9
50,53,Washington,1976,1,2598000,1584688,61,1446319,55.7,138369,8.7
51,54,West Virginia,1976,1,1352000,702600,52,647491,47.9,55109,7.8
52,55,Wisconsin,1976,1,3245000,2125315,65.5,2003102,61.7,122213,5.8
53,56,Wyoming,1976,1,270000,175876,65.1,168592,62.4,7284,4.1
54,1,Alabama,1976,2,2610000,1491820,57.2,1391975,53.3,99845,6.7
55,2,Alaska,1976,2,234000,158961,67.9,147666,63.1,11295,7.1
56,4,Arizona,1976,2,1626000,971753,59.8,871997,53.6,99756,10.3
57,5,Arkansas,1976,2,1538000,882316,57.4,817132,53.1,65184,7.4
58,6,California,1976,2,15657000,9775948,62.4,8888464,56.8,887484,9.1
59,37,Los Angeles County,1976,2,5283000,3374478,63.9,3077504,58.3,296974,8.8
60,8,Colorado,1976,2,1837000,1232109,67.1,1164631,63.4,67478,5.5
61,9,Connecticut,1976,2,2251000,1442758,64.1,1301572,57.8,141186,9.8
62,10,Delaware,1976,2,418000,262592,62.8,242420,58,20172,7.7
63,11,District of Columbia,1976,2,519000,339539,65.4,308976,59.5,30563,9
64,12,Florida,1976,2,6437000,3591389,55.8,3247280,50.4,344109,9.6
65,13,Georgia,1976,2,3528000,2249410,63.8,2060612,58.4,188798,8.4
66,15,Hawaii,1976,2,585000,408905,69.9,367268,62.8,41637,10.2
67,16,Idaho,1976,2,582000,365886,62.9,345965,59.4,19921,5.4
68,17,Illinois,1976,2,8136000,5132066,63.1,4787725,58.8,344341,6.7
69,18,Indiana,1976,2,3793000,2418034,63.7,2259666,59.6,158368,6.5
70,19,Iowa,1976,2,2069000,1324134,64,1268472,61.3,55662,4.2
71,20,Kansas,1976,2,1637000,1060584,64.8,1015127,62,45457,4.3
72,21,Kentucky,1976,2,2465000,1489199,60.4,1406247,57,82952,5.6
73,22,Louisiana,1976,2,2678000,1513026,56.5,1417468,52.9,95558,6.3
74,23,Maine,1976,2,766000,475595,62.1,433930,56.6,41665,8.8
75,24,Maryland,1976,2,2958000,1904839,64.4,1781465,60.2,123374,6.5
76,25,Massachusetts,1976,2,4198000,2714974,64.7,2434220,58,280754,10.3
77,26,Michigan,1976,2,6424000,3957748,61.6,3566516,55.5,391232,9.9
78,27,Minnesota,1976,2,2793000,1832001,65.6,1722014,61.7,109987,6
79,28,Mississippi,1976,2,1644000,960686,58.4,896491,54.5,64195,6.7
80,29,Missouri,1976,2,3469000,2087305,60.2,1962686,56.6,124619,6
81,30,Montana,1976,2,532000,327202,61.5,308039,57.9,19163,5.9
82,31,Nebraska,1976,2,1096000,715577,65.3,691996,63.1,23581,3.3
