"","year","party","winner_party.x","seats","Other_seats.x","votes","total_votes.x","majorvote_pct","president_party","H_incumbent_party_winner","H_incumbent_party"
"1",1948,"R","D",171,17,21613079,49560252,46.6,"D",FALSE,"R"
"2",1948,"D","D",263,17,24762972,49560252,53.4,"D",FALSE,"R"
"3",1950,"R","R",199,16,20925177,44050445,50.29,"D",FALSE,"D"
"4",1950,"D","R",234,16,20681636,44050445,49.71,"D",FALSE,"D"
"5",1952,"R","D",221,19,28860092,61803866,48.82,"R",FALSE,"R"
"6",1952,"D","D",213,19,30255614,61803866,51.18,"R",FALSE,"R"
"7",1954,"R","D",203,7,21092608,45251283,47.6,"R",TRUE,"D"
"8",1954,"D","D",232,7,23223158,45251283,52.4,"R",TRUE,"D"
"9",1956,"R","D",201,9,29829376,62457894,48.75,"R",TRUE,"D"
"10",1956,"D","D",234,9,31354867,62457894,51.25,"R",TRUE,"D"
"11",1958,"R","D",153,11,20435025,46851436,45.03,"R",TRUE,"D"
"12",1958,"D","D",283,11,24943266,46851436,54.97,"R",TRUE,"D"
"13",1960,"R","D",175,5,29445993,65678881,45.65,"D",TRUE,"D"
"14",1960,"D","D",262,5,35060186,65678881,54.35,"D",TRUE,"D"
"15",1962,"R","D",176,5,29161465,62760124,47.13,"D",TRUE,"D"
"16",1962,"D","D",258,5,32713542,62760124,52.87,"D",TRUE,"D"
"17",1964,"R","D",140,4,30997556,73565373,42.73,"D",TRUE,"D"
"18",1964,"D","D",295,4,41545599,73565373,57.27,"D",TRUE,"D"
"19",1966,"R","D",187,3,25700061,53199376,49.14,"D",TRUE,"D"
"20",1966,"D","D",248,3,26596037,53199376,50.86,"D",TRUE,"D"
"21",1968,"R","D",192,0,32183586,66455377,49.08,"R",TRUE,"D"
"22",1968,"D","D",243,0,33395717,66455377,50.92,"R",TRUE,"D"
"23",1970,"R","D",180,0,24414855,54147415,45.78,"R",TRUE,"D"
"24",1970,"D","D",255,0,28921540,54147415,54.22,"R",TRUE,"D"
"25",1972,"R","D",192,1,33160947,71254917,47.18,"R",TRUE,"D"
"26",1972,"D","D",242,1,37120058,71254917,52.82,"R",TRUE,"D"
