year,state,district,cook,rothenberg,cq_politics,sabatos_crystal_ball,real_clear,roll_call,ny_times,the_hill,daily_kos,fivethirtyeight,ddhq,elections_daily,politico,fox,the_economist,avg_rating
2010,Alabama,2,4,4.75,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95
2010,Alabama,5,6,7,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
2010,Arizona,1,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,Arizona,3,5,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
2010,Arizona,5,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Arizona,7,4,2.5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
2010,Arizona,8,4,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2010,Arkansas,1,5,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75
2010,Arkansas,2,6,6.25,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05
2010,California,3,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,California,11,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2010,California,18,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
2010,California,20,4,2.5,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
2010,California,47,3,2.5,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
2010,Colorado,3,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Colorado,4,5,6.25,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45
2010,Colorado,7,3,1.75,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
2010,Connecticut,4,3,1.75,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95
2010,Connecticut,5,3,1.75,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95
2010,Delaware,AL,2,2.5,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
