candidate,pct_estimate,lo,hi,date,election,cycle
Democrats,43.94449,39.33347,48.5555,4/15/17,11/6/18,2018
Republicans,39.54969,34.93867,44.16071,4/15/17,11/6/18,2018
Democrats,43.74965,39.14054,48.35876,4/16/17,11/6/18,2018
Republicans,39.59254,34.98343,44.20165,4/16/17,11/6/18,2018
Democrats,43.74553,39.13599,48.35508,4/17/17,11/6/18,2018
Republicans,39.58794,34.9784,44.19749,4/17/17,11/6/18,2018
Democrats,43.74052,39.13042,48.35062,4/18/17,11/6/18,2018
Republicans,39.58223,34.97213,44.19233,4/18/17,11/6/18,2018
Democrats,43.41034,38.84039,47.9803,4/19/17,11/6/18,2018
Republicans,38.84026,34.27031,43.41022,4/19/17,11/6/18,2018
Democrats,43.40546,38.83498,47.97594,4/20/17,11/6/18,2018
Republicans,38.83375,34.26327,43.40423,4/20/17,11/6/18,2018
Democrats,44.31843,39.86341,48.77344,4/21/17,11/6/18,2018
Republicans,39.77268,35.31767,44.2277,4/21/17,11/6/18,2018
Democrats,44.31649,39.86101,48.77196,4/22/17,11/6/18,2018
Republicans,39.7694,35.31392,44.22487,4/22/17,11/6/18,2018
Democrats,44.31416,39.85835,48.76996,4/23/17,11/6/18,2018
Republicans,39.76566,35.30986,44.22146,4/23/17,11/6/18,2018
Democrats,44.31274,39.85652,48.76897,4/24/17,11/6/18,2018
Republicans,39.76336,35.30714,44.21959,4/24/17,11/6/18,2018
Democrats,44.21138,39.76335,48.65942,4/25/17,11/6/18,2018
Republicans,40.03537,35.58733,44.4834,4/25/17,11/6/18,2018
Democrats,45.00207,40.66084,49.3433,4/26/17,11/6/18,2018
Republicans,40.27968,35.93845,44.62091,4/26/17,11/6/18,2018
Democrats,45.00109,40.6595,49.34268,4/27/17,11/6/18,2018
Republicans,40.2783,35.93671,44.61988,4/27/17,11/6/18,2018
Democrats,45.00018,40.65827,49.34208,4/28/17,11/6/18,2018
Republicans,40.27708,35.93518,44.61898,4/28/17,11/6/18,2018
Democrats,44.99945,40.65715,49.34175,4/29/17,11/6/18,2018
Republicans,40.27623,35.93393,44.61853,4/29/17,11/6/18,2018
Democrats,44.99852,40.65588,49.34116,4/30/17,11/6/18,2018
